Name	Description	SourceMTOverride	SampleMTOverride	Characteristics[parasite lifecycle stage]	Antibody	Characteristics[Replicate]	Characteristics[specimen]	Characteristics[parasite organism]
GSM338429-TBP-replicate1				promastigotes	TBP	Replicate 1	cell specimen	Leishmania major
GSM338430-SNAP50-replicate1				promastigotes	SNAP50	Replicate 1	cell specimen	Leishmania major
GSM338431-acetylH3-replicate1				promastigotes	acetylH3	Replicate 1	cell specimen	Leishmania major
GSM338432-acetylH3-replicate2				promastigotes	acetylH3	Replicate 2	cell specimen	Leishmania major
GSM338433-acetylH3-early_log_promastigotes				early-log promastigotes	acetylH3		cell specimen	Leishmania major
GSM338434-acetylH3-stationary_promastigotes				stationary promastigotes	acetylH3		cell specimen	Leishmania major
GSM338435-SNAP50-replicate2				promastigotes	SNAP50	Replicate 2	cell specimen	Leishmania major
GSM338436-SNAP50-replicate3				promastigotes	SNAP50	Replicate 3	cell specimen	Leishmania major
GSM338437-TBP-replicate2				promastigotes	TBP	Replicate 2	cell specimen	Leishmania major
GSM338438-TBP-replicate3				promastigotes	TBP	Replicate 3	cell specimen	Leishmania major
GSM338439-TBP-early_log_promastigotes				early-log promastigotes	TBP		cell specimen	Leishmania major
GSM338440-TBP-stationary_promastigotes				stationary promastigotes	TBP		cell specimen	Leishmania major
