Name	Description	SourceMTOverride	SampleMTOverride	Characteristics [country]	Characteristics [city]	specimen collection year	antimicrobial agent resistance phenotype	Characteristics [specimen]	Characteristics [fungus organism]	Characteristics [strain]
12-7505446	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			UK	 Leeds	2012	Triazole resistant	Clinical	Aspergillus fumigatus	12-7505446
12-7505220	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			UK	 Leeds	2012	Triazole resistant	Clinical	Aspergillus fumigatus	12-7505220
09-7500806	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			UK	 Leeds	2009	Triazole susceptible	Clinical	Aspergillus fumigatus	09-7500806
12-7504652	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			UK	 Leeds	2012	Triazole susceptible	Clinical	Aspergillus fumigatus	12-7504652
12-7504462	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			UK	 Leeds	2012	Triazole susceptible	Clinical	Aspergillus fumigatus	12-7504462
12-7505054	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			UK	 Leeds	2012	Triazole susceptible	Clinical	Aspergillus fumigatus	12-7505054
08-12-12-13	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			Netherlands	 Nijmegen	2003	Triazole resistant	Clinical	Aspergillus fumigatus	08-12-12-13
08-36-03-25	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			Netherlands	 Nijmegen	2005	Triazole resistant	Clinical	Aspergillus fumigatus	08-36-03-25
08-31-08-91	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			Netherlands	 Nijmegen	2004	Triazole resistant	Clinical	Aspergillus fumigatus	08-31-08-91
08-19-02-61	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			Netherlands	 Berghem	2008	Triazole resistant	Environmental	Aspergillus fumigatus	08-19-02-61
08-19-02-30	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			Netherlands	 Berghem	2008	Triazole susceptible	Environmental	Aspergillus fumigatus	08-19-02-30
10-01-02-27	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			Netherlands	 Nijmegen	2010	Triazole resistant	Clinical	Aspergillus fumigatus	10-01-02-27
08-19-02-46	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			Netherlands	 Nijmegen	2008	Triazole resistant	Environmental	Aspergillus fumigatus	08-19-02-46
08-19-02-10	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			Netherlands	 Nijmegen	2008	Triazole resistant	Environmental	Aspergillus fumigatus	08-19-02-10
Afu_942-09	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			India	 Delhi	2009	Triazole resistant	Clinical	Aspergillus fumigatus	Afu 942/09
Afu_1042-09	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			India	 Delhi	2009	Triazole resistant	Clinical	Aspergillus fumigatus	Afu 1042/09
Afu_343-P-11	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			India	 Delhi	2011	Triazole resistant	Clinical	Aspergillus fumigatus	Afu 343/P/11
Afu_591-12	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			India	 Delhi	2012	Triazole resistant	Clinical	Aspergillus fumigatus	Afu 591/12
Afu_124-E11	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			India	 Delhi	2011	Triazole resistant	Environmental	Aspergillus fumigatus	Afu 124/E11
Afu_166-E11	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			India	 Bihar	2011	Triazole resistant	Environmental	Aspergillus fumigatus	Afu 166/E11
Afu_257-E11	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			India	 Bihar	2011	Triazole resistant	Environmental	Aspergillus fumigatus	Afu 257/E11
Afu_218-E11	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			India	 Delhi	2011	Triazole resistant	Environmental	Aspergillus fumigatus	Afu 218/E11
AF65	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			UK		1997	Triazole susceptible	Clinical	Aspergillus fumigatus	AF65 (NCPF 7097)
AF293	Genomic Context of Azole-Resistance Mutations in Aspergillus fumigatus			UK		1993	Triazole susceptible	Clinical	Aspergillus fumigatus	AF293 (NCPF 7367)
